"LAD Code","Region ID","Region Name"
"E06000001","1","North East"
"E06000002","1","North East"
"E06000003","1","North East"
"E06000004","1","North East"
"E06000005","1","North East"
"E06000006","2","North West"
"E06000007","2","North West"
"E06000008","2","North West"
"E06000009","2","North West"
"E06000010","3","Yorkshire and The Humber"
"E06000011","3","Yorkshire and The Humber"
"E06000012","3","Yorkshire and The Humber"
"E06000013","3","Yorkshire and The Humber"
"E06000014","3","Yorkshire and The Humber"
"E06000015","4","East Midlands"
"E06000016","4","East Midlands"
"E06000017","4","East Midlands"
"E06000018","4","East Midlands"
"E06000019","5","West Midlands"
"E06000020","5","West Midlands"
"E06000021","5","West Midlands"
"E06000022","9","South West"
"E06000023","9","South West"
"E06000024","9","South West"
"E06000025","9","South West"
"E06000026","9","South West"
"E06000027","9","South West"
"E06000030","9","South West"
"E06000031","6","East of England"
"E06000032","6","East of England"
"E06000033","6","East of England"
"E06000034","6","East of England"
"E06000035","8","South East"
"E06000036","8","South East"
"E06000037","8","South East"
"E06000038","8","South East"
"E06000039","8","South East"
"E06000040","8","South East"
"E06000041","8","South East"
"E06000042","8","South East"
"E06000043","8","South East"
"E06000044","8","South East"
"E06000045","8","South East"
"E06000046","8","South East"
"E06000047","1","North East"
"E06000049","2","North West"
"E06000050","2","North West"
"E06000051","5","West Midlands"
"E06000052","9","South West"
"E06000054","9","South West"
"E06000055","6","East of England"
"E06000056","6","East of England"
"E06000057","1","North East"
"E06000058","9","South West"
"E06000059","9","South West"
"E06000060","8","South East"
"E06000061","4","East Midlands"
"E06000062","4","East Midlands"
"E06000063","2","North West"
"E06000064","2","North West"
"E06000065","3","Yorkshire and The Humber"
"E06000066","9","South West"
"E07000008","6","East of England"
"E07000009","6","East of England"
"E07000010","6","East of England"
"E07000011","6","East of England"
"E07000012","6","East of England"
"E07000032","4","East Midlands"
"E07000033","4","East Midlands"
"E07000034","4","East Midlands"
"E07000035","4","East Midlands"
"E07000036","4","East Midlands"
"E07000037","4","East Midlands"
"E07000038","4","East Midlands"
"E07000039","4","East Midlands"
"E07000040","9","South West"
"E07000041","9","South West"
"E07000042","9","South West"
"E07000043","9","South West"
"E07000044","9","South West"
"E07000045","9","South West"
"E07000046","9","South West"
"E07000047","9","South West"
"E07000061","8","South East"
"E07000062","8","South East"
"E07000063","8","South East"
"E07000064","8","South East"
"E07000065","8","South East"
"E07000066","6","East of England"
"E07000067","6","East of England"
"E07000068","6","East of England"
"E07000069","6","East of England"
"E07000070","6","East of England"
"E07000071","6","East of England"
"E07000072","6","East of England"
"E07000073","6","East of England"
"E07000074","6","East of England"
"E07000075","6","East of England"
"E07000076","6","East of England"
"E07000077","6","East of England"
"E07000078","9","South West"
"E07000079","9","South West"
"E07000080","9","South West"
"E07000081","9","South West"
"E07000082","9","South West"
"E07000083","9","South West"
"E07000084","8","South East"
"E07000085","8","South East"
"E07000086","8","South East"
"E07000087","8","South East"
"E07000088","8","South East"
"E07000089","8","South East"
"E07000090","8","South East"
"E07000091","8","South East"
"E07000092","8","South East"
"E07000093","8","South East"
"E07000094","8","South East"
"E07000095","6","East of England"
"E07000096","6","East of England"
"E07000098","6","East of England"
"E07000099","6","East of England"
"E07000102","6","East of England"
"E07000103","6","East of England"
"E07000105","8","South East"
"E07000106","8","South East"
"E07000107","8","South East"
"E07000108","8","South East"
"E07000109","8","South East"
"E07000110","8","South East"
"E07000111","8","South East"
"E07000112","8","South East"
"E07000113","8","South East"
"E07000114","8","South East"
"E07000115","8","South East"
"E07000116","8","South East"
"E07000117","2","North West"
"E07000118","2","North West"
"E07000119","2","North West"
"E07000120","2","North West"
"E07000121","2","North West"
"E07000122","2","North West"
"E07000123","2","North West"
"E07000124","2","North West"
"E07000125","2","North West"
"E07000126","2","North West"
"E07000127","2","North West"
"E07000128","2","North West"
"E07000129","4","East Midlands"
"E07000130","4","East Midlands"
"E07000131","4","East Midlands"
"E07000132","4","East Midlands"
"E07000133","4","East Midlands"
"E07000134","4","East Midlands"
"E07000135","4","East Midlands"
"E07000136","4","East Midlands"
"E07000137","4","East Midlands"
"E07000138","4","East Midlands"
"E07000139","4","East Midlands"
"E07000140","4","East Midlands"
"E07000141","4","East Midlands"
"E07000142","4","East Midlands"
"E07000143","6","East of England"
"E07000144","6","East of England"
"E07000145","6","East of England"
"E07000146","6","East of England"
"E07000147","6","East of England"
"E07000148","6","East of England"
"E07000149","6","East of England"
"E07000170","4","East Midlands"
"E07000171","4","East Midlands"
"E07000172","4","East Midlands"
"E07000173","4","East Midlands"
"E07000174","4","East Midlands"
"E07000175","4","East Midlands"
"E07000176","4","East Midlands"
"E07000177","8","South East"
"E07000178","8","South East"
"E07000179","8","South East"
"E07000180","8","South East"
"E07000181","8","South East"
"E07000192","5","West Midlands"
"E07000193","5","West Midlands"
"E07000194","5","West Midlands"
"E07000195","5","West Midlands"
"E07000196","5","West Midlands"
